Entry,Entry Name,Gene Names,Protein names,Length,source_query,intended_gene,protac_validated,gene_symbol
Q9C040,TRIM2_HUMAN,TRIM2 KIAA0517 RNF86,Tripartite motif-containing protein 2 (EC 2.3.2.27) (E3 ubiquitin-protein ligase TRIM2) (RING finger protein 86) (RING-type E3 ubiquitin transferase TRIM2),744,direct_e3,,False,TRIM2
Q9C0C7,AMRA1_HUMAN,AMBRA1 DCAF3 KIAA1736,Activating molecule in BECN1-regulated autophagy protein 1 (DDB1- and CUL4-associated factor 3),1298,"direct_e3,substrate_adapters",,False,AMBRA1
Q9C0C9,UBE2O_HUMAN,UBE2O KIAA1734,(E3-independent) E2 ubiquitin-conjugating enzyme (EC 2.3.2.24) (E2/E3 hybrid ubiquitin-protein ligase UBE2O) (Ubiquitin carrier protein O) (Ubiquitin-conjugating enzyme E2 O) (Ubiquitin-conjugating enzyme E2 of 230 kDa) (Ubiquitin-conjugating enzyme E2-230K) (Ubiquitin-protein ligase O),1292,direct_e3,,False,UBE2O
Q9C0D3,ZY11B_HUMAN,ZYG11B KIAA1730,Protein zyg-11 homolog B,744,direct_e3,,False,ZYG11B
Q9C0H6,KLHL4_HUMAN,KLHL4 KIAA1687,Kelch-like protein 4,718,substrate_adapters,,False,KLHL4
Q9GZQ3,COMD5_HUMAN,COMMD5 HT002,COMM domain-containing protein 5 (Hypertension-related calcium-regulated gene protein) (HCaRG),224,direct_e3,,False,COMMD5
Q9GZR1,SENP6_HUMAN,SENP6 KIAA0797 SSP1 SUSP1 FKSG6,Sentrin-specific protease 6 (EC 3.4.22.-) (SUMO-1-specific protease 1) (Sentrin/SUMO-specific protease SENP6),1112,direct_e3,,False,SENP6
Q9H8T0,AKTIP_HUMAN,AKTIP FTS,AKT-interacting protein (Ft1) (Fused toes protein homolog),292,direct_e3,,False,AKTIP
Q9H920,RN121_HUMAN,RNF121,E3 ubiquitin ligase RNF121 (EC 2.3.2.27) (RING finger protein 121),327,direct_e3,,False,RNF121
Q9NXR7,BABA2_HUMAN,BABAM2 BRCC45 BRE,BRISC and BRCA1-A complex member 2 (BRCA1-A complex subunit BRE) (BRCA1/BRCA2-containing complex subunit 45) (Brain and reproductive organ-expressed protein),383,direct_e3,,False,BABAM2
Q9H992,MARH7_HUMAN,MARCHF7 AXOT MARCH7 RNF177,E3 ubiquitin-protein ligase MARCHF7 (EC 2.3.2.27) (Axotrophin) (Membrane-associated RING finger protein 7) (Membrane-associated RING-CH protein VII) (MARCH-VII) (RING finger protein 177) (RING-type E3 ubiquitin transferase MARCHF7),704,direct_e3,,False,MARCHF7
Q9NSE2,CISH_HUMAN,CISH G18,Cytokine-inducible SH2-containing protein (CIS) (CIS-1) (Protein G18) (Suppressor of cytokine signaling) (SOCS),258,direct_e3,,False,CISH
Q9NTX7,RN146_HUMAN,RNF146,E3 ubiquitin-protein ligase RNF146 (EC 2.3.2.27) (Dactylidin) (Iduna) (RING finger protein 146) (RING-type E3 ubiquitin transferase RNF146),359,direct_e3,,False,RNF146
Q9NV06,DCA13_HUMAN,DCAF13 WDSOF1 HSPC064,DDB1- and CUL4-associated factor 13 (WD repeat and SOF domain-containing protein 1),445,"direct_e3,substrate_adapters",,False,DCAF13
Q9NV58,RN19A_HUMAN,RNF19A RNF19,E3 ubiquitin-protein ligase RNF19A (EC 2.3.2.31) (Double ring-finger protein) (Dorfin) (RING finger protein 19A) (p38),838,direct_e3,,False,RNF19A
Q9NV79,PCMD2_HUMAN,PCMTD2 C20orf36,Protein-L-isoaspartate O-methyltransferase domain-containing protein 2,361,direct_e3,,False,PCMTD2
Q9NV92,NFIP2_HUMAN,NDFIP2 KIAA1165 N4WBP5A,NEDD4 family-interacting protein 2 (NEDD4 WW domain-binding protein 5A) (Putative MAPK-activating protein PM04/PM05/PM06/PM07) (Putative NF-kappa-B-activating protein 413),336,direct_e3,,False,NDFIP2
Q9NVC6,MED17_HUMAN,MED17 ARC77 CRSP6 DRIP77 DRIP80 TRAP80,Mediator of RNA polymerase II transcription subunit 17 (Activator-recruited cofactor 77 kDa component) (ARC77) (Cofactor required for Sp1 transcriptional activation subunit 6) (CRSP complex subunit 6) (Mediator complex subunit 17) (Thyroid hormone receptor-associated protein complex 80 kDa component) (Trap80) (Transcriptional coactivator CRSP77) (Vitamin D3 receptor-interacting protein complex 80 kDa component) (DRIP80),651,direct_e3,,False,MED17
Q9NVF7,FBX28_HUMAN,FBXO28 CENP-30 KIAA0483,F-box only protein 28,368,"direct_e3,f_box",,False,FBXO28
Q9NVN8,GNL3L_HUMAN,GNL3L,Guanine nucleotide-binding protein-like 3-like protein,582,direct_e3,,False,GNL3L
Q9NVR0,KLH11_HUMAN,KLHL11,Kelch-like protein 11,708,"direct_e3,substrate_adapters",,False,KLHL11
Q9NVW2,RNF12_HUMAN,RLIM RNF12,E3 ubiquitin-protein ligase RLIM (EC 2.3.2.27) (LIM domain-interacting RING finger protein) (RING finger LIM domain-binding protein) (R-LIM) (RING finger protein 12) (RING-type E3 ubiquitin transferase RLIM) (Renal carcinoma antigen NY-REN-43),624,direct_e3,,False,RLIM
Q9NVX7,KBTB4_HUMAN,KBTBD4 BKLHD4,Kelch repeat and BTB domain-containing protein 4 (BTB and kelch domain-containing protein 4),534,direct_e3,,False,KBTBD4
Q9NW38,FANCL_HUMAN,FANCL PHF9,E3 ubiquitin-protein ligase FANCL (EC 2.3.2.27) (Fanconi anemia group L protein) (Fanconi anemia-associated polypeptide of 43 kDa) (FAAP43) (RING-type E3 ubiquitin transferase FANCL),375,direct_e3,,False,FANCL
Q9NWF9,RN216_HUMAN,RNF216 TRIAD3 UBCE7IP1 ZIN,E3 ubiquitin-protein ligase RNF216 (EC 2.3.2.27) (RING finger protein 216) (RING-type E3 ubiquitin transferase RNF216) (Triad domain-containing protein 3) (Ubiquitin-conjugating enzyme 7-interacting protein 1) (Zinc finger protein inhibiting NF-kappa-B),866,direct_e3,,False,RNF216
Q9NWN3,FBX34_HUMAN,FBXO34 FBX34,F-box only protein 34,711,"direct_e3,f_box",,False,FBXO34
Q9NWU2,GID8_HUMAN,GID8 C20orf11 TWA1,Glucose-induced degradation protein 8 homolog (Two hybrid-associated protein 1 with RanBPM) (Twa1),228,direct_e3,,False,GID8
Q9NWX5,ASB6_HUMAN,ASB6,Ankyrin repeat and SOCS box protein 6 (ASB-6),421,"btb_socs,direct_e3",,False,ASB6
Q9NWZ3,IRAK4_HUMAN,IRAK4,Interleukin-1 receptor-associated kinase 4 (IRAK-4) (EC 2.7.11.1) (Renal carcinoma antigen NY-REN-64),460,direct_e3,,False,IRAK4
Q9NX08,COMD8_HUMAN,COMMD8 MDS022,COMM domain-containing protein 8,183,direct_e3,,False,COMMD8
Q9NX47,MARH5_HUMAN,MARCHF5 MARCH5 RNF153,E3 ubiquitin-protein ligase MARCHF5 (EC 2.3.2.27) (Membrane-associated RING finger protein 5) (Membrane-associated RING-CH protein V) (MARCH-V) (Mitochondrial ubiquitin ligase) (MITOL) (RING finger protein 153) (RING-type E3 ubiquitin transferase MARCHF5),278,direct_e3,,False,MARCHF5
Q9NXC5,MIOS_HUMAN,MIOS,GATOR2 complex protein MIOS (Missing oocyte meiosis regulator homolog),875,direct_e3,,False,MIOS
Q9NXI6,RN186_HUMAN,RNF186,E3 ubiquitin-protein ligase RNF186 (EC 2.3.2.27) (RING finger protein 186),227,direct_e3,,False,RNF186
Q9NXK8,FXL12_HUMAN,FBXL12 FBL12,F-box/LRR-repeat protein 12 (F-box and leucine-rich repeat protein 12) (F-box protein FBL12),326,"direct_e3,f_box",,False,FBXL12
Q9NS91,RAD18_HUMAN,RAD18 RNF73,E3 ubiquitin-protein ligase RAD18 (EC 2.3.2.27) (Postreplication repair protein RAD18) (hHR18) (hRAD18) (RING finger protein 73) (RING-type E3 ubiquitin transferase RAD18),495,direct_e3,,False,RAD18
Q9NS69,TOM22_HUMAN,TOMM22 TOM22,Mitochondrial import receptor subunit TOM22 homolog (hTom22) (1C9-2) (Translocase of outer membrane 22 kDa subunit homolog),142,direct_e3,,False,TOMM22
Q9NS56,TOPRS_HUMAN,TOPORS LUN TP53BPL,E3 ubiquitin-protein ligase Topors (EC 2.3.2.27) (RING-type E3 ubiquitin transferase Topors) (SUMO1-protein E3 ligase Topors) (Topoisomerase I-binding RING finger protein) (Topoisomerase I-binding arginine/serine-rich protein) (Tumor suppressor p53-binding protein 3) (p53-binding protein 3) (p53BP3),1045,direct_e3,,False,TOPORS
Q9HCI7,MSL2_HUMAN,MSL2 KIAA1585 MSL2L1 RNF184,E3 ubiquitin-protein ligase MSL2 (EC 2.3.2.27) (Male-specific lethal 2-like 1) (MSL2-like 1) (Male-specific lethal-2 homolog) (MSL-2) (Male-specific lethal-2 homolog 1) (RING finger protein 184),577,direct_e3,,False,MSL2
Q9H9V4,RN122_HUMAN,RNF122,RING finger protein 122,155,direct_e3,,False,RNF122
Q9HAT8,PELI2_HUMAN,PELI2,E3 ubiquitin-protein ligase pellino homolog 2 (Pellino-2) (EC 2.3.2.27) (RING-type E3 ubiquitin transferase pellino homolog 2),420,direct_e3,,False,PELI2
Q9HAU4,SMUF2_HUMAN,SMURF2,E3 ubiquitin-protein ligase SMURF2 (hSMURF2) (EC 2.3.2.26) (HECT-type E3 ubiquitin transferase SMURF2) (SMAD ubiquitination regulatory factor 2) (SMAD-specific E3 ubiquitin-protein ligase 2),748,direct_e3,,False,SMURF2
Q9HAY2,MAGF1_HUMAN,MAGEF1,Melanoma-associated antigen F1 (MAGE-F1) (MAGE-F1 antigen),307,direct_e3,,False,MAGEF1
Q9HBD1,RC3H2_HUMAN,RC3H2 MNAB RNF164,Roquin-2 (EC 2.3.2.27) (Membrane-associated nucleic acid-binding protein) (RING finger and CCCH-type zinc finger domain-containing protein 2) (RING finger protein 164) (RING-type E3 ubiquitin transferase Roquin-2),1191,direct_e3,,False,RC3H2
Q9HBE1,PATZ1_HUMAN,PATZ1 PATZ RIAZ ZBTB19 ZNF278 ZSG,"POZ-, AT hook-, and zinc finger-containing protein 1 (BTB/POZ domain zinc finger transcription factor) (Protein kinase A RI subunit alpha-associated protein) (Zinc finger and BTB domain-containing protein 19) (Zinc finger protein 278) (Zinc finger sarcoma gene protein)",687,btb_socs,,False,PATZ1
Q9HC29,NOD2_HUMAN,NOD2 CARD15,Nucleotide-binding oligomerization domain-containing protein 2 (Caspase recruitment domain-containing protein 15) (Inflammatory bowel disease protein 1),1040,direct_e3,,False,NOD2
Q9HC78,ZBT20_HUMAN,ZBTB20 DPZF ZNF288,Zinc finger and BTB domain-containing protein 20 (Dendritic-derived BTB/POZ zinc finger protein) (Zinc finger protein 288),741,btb_socs,,False,ZBTB20
Q9HCE7,SMUF1_HUMAN,SMURF1 KIAA1625,E3 ubiquitin-protein ligase SMURF1 (hSMURF1) (EC 2.3.2.26) (HECT-type E3 ubiquitin transferase SMURF1) (SMAD ubiquitination regulatory factor 1) (SMAD-specific E3 ubiquitin-protein ligase 1),757,direct_e3,,False,SMURF1
Q9HCI5,MAGE1_HUMAN,MAGEE1 HCA1 KIAA1587,Melanoma-associated antigen E1 (Alpha-dystrobrevin-associated MAGE Protein) (DAMAGE) (Hepatocellular carcinoma-associated protein 1) (MAGE-E1 antigen),957,direct_e3,,False,MAGEE1
Q9HCM9,TRI39_HUMAN,TRIM39 RNF23 TFP,E3 ubiquitin-protein ligase TRIM39 (EC 2.3.2.27) (RING finger protein 23) (RING-type E3 ubiquitin transferase TRIM39) (Testis-abundant finger protein) (Tripartite motif-containing protein 39),518,direct_e3,,False,TRIM39
Q9NRW4,DUS22_HUMAN,DUSP22 JSP1 LMWDSP2 MKPX,Dual specificity protein phosphatase 22 (EC 3.1.3.16) (EC 3.1.3.48) (JNK pathway associated phosphatase) (JKAP) (JNK-stimulatory phosphatase-1) (JSP-1) (Low molecular weight dual specificity phosphatase 2) (LMW-DSP2) (Mitogen-activated protein kinase phosphatase x) (MAP kinase phosphatase x) (MKP-x),184,direct_e3,,False,DUSP22
Q9NPC3,CIP1_HUMAN,CCNB1IP1 C14orf18 HEI10,E3 ubiquitin-protein ligase CCNB1IP1 (EC 2.3.2.27) (Cyclin-B1-interacting protein 1) (Human enhancer of invasion 10) (RING-type E3 ubiquitin transferase CCNB1IP1),277,direct_e3,,False,CCNB1IP1
Q9NPD8,UBE2T_HUMAN,UBE2T HSPC150 PIG50,Ubiquitin-conjugating enzyme E2 T (EC 2.3.2.23) (Cell proliferation-inducing gene 50 protein) (E2 ubiquitin-conjugating enzyme T) (Ubiquitin carrier protein T) (Ubiquitin-protein ligase T),197,direct_e3,,False,UBE2T
Q9NQ86,TRI36_HUMAN,TRIM36 RBCC728 RNF98,E3 ubiquitin-protein ligase TRIM36 (EC 2.3.2.27) (RING finger protein 98) (RING-type E3 ubiquitin transferase TRIM36) (Tripartite motif-containing protein 36) (Zinc-binding protein Rbcc728),728,direct_e3,,False,TRIM36
Q9NQC1,JADE2_HUMAN,JADE2 KIAA0239 PHF15,E3 ubiquitin-protein ligase Jade-2 (EC 2.3.2.27) (Jade family PHD finger protein 2) (PHD finger protein 15),790,direct_e3,,False,JADE2
Q9NR09,BIRC6_HUMAN,BIRC6 KIAA1289,Dual E2 ubiquitin-conjugating enzyme/E3 ubiquitin-protein ligase BIRC6 (EC 2.3.2.24) (BIR repeat-containing ubiquitin-conjugating enzyme) (BRUCE) (Baculoviral IAP repeat-containing protein 6) (Ubiquitin-conjugating BIR domain enzyme apollon) (APOLLON),4857,direct_e3,,False,BIRC6
Q9NR64,KLHL1_HUMAN,KLHL1 KIAA1490,Kelch-like protein 1,748,substrate_adapters,,False,KLHL1
Q9NRC8,SIR7_HUMAN,SIRT7 SIR2L7,NAD-dependent protein deacetylase sirtuin-7 (EC 2.3.1.286) (NAD-dependent protein deacylase sirtuin-7) (EC 2.3.1.-) (Regulatory protein SIR2 homolog 7) (SIR2-like protein 7),400,"direct_e3,substrate_adapters",,False,SIRT7
Q9NRD0,FBX8_HUMAN,FBXO8 FBS FBX8 DC10 UNQ1877/PRO4320,F-box only protein 8 (F-box/SEC7 protein FBS),319,f_box,,False,FBXO8
Q9NRD1,FBX6_HUMAN,FBXO6 FBG2 FBS2 FBX6,F-box only protein 6 (F-box protein that recognizes sugar chains 2) (F-box/G-domain protein 2),293,"direct_e3,f_box",,False,FBXO6
Q9NRJ4,TULP4_HUMAN,TULP4 KIAA1397 TUBL4 TUSP,Tubby-related protein 4 (Tubby superfamily protein) (Tubby-like protein 4),1543,direct_e3,,False,TULP4
Q8N668,COMD1_HUMAN,COMMD1 C2orf5 MURR1,COMM domain-containing protein 1 (Protein Murr1),190,direct_e3,,False,COMMD1
A0A0G2JMD5,PRA33_HUMAN,PRAMEF33,PRAME family member 33,474,substrate_adapters,,False,PRAMEF33
Q8N5Z5,KCD17_HUMAN,KCTD17,BTB/POZ domain-containing protein KCTD17,314,"btb_socs,direct_e3,substrate_adapters",,False,KCTD17
P43403,ZAP70_HUMAN,ZAP70 SRK,Tyrosine-protein kinase ZAP-70 (EC 2.7.10.2) (70 kDa zeta-chain associated protein) (Syk-related tyrosine kinase),619,direct_e3,,False,ZAP70
P30260,CDC27_HUMAN,CDC27 ANAPC3 D0S1430E D17S978E,Cell division cycle protein 27 homolog (Anaphase-promoting complex subunit 3) (APC3) (CDC27 homolog) (CDC27Hs) (H-NUC),824,direct_e3,,False,CDC27
P35226,BMI1_HUMAN,BMI1 PCGF4 RNF51,Polycomb complex protein BMI-1 (Polycomb group RING finger protein 4) (RING finger protein 51),326,direct_e3,,False,BMI1
P35227,PCGF2_HUMAN,PCGF2 MEL18 RNF110 ZNF144,Polycomb group RING finger protein 2 (DNA-binding protein Mel-18) (RING finger protein 110) (Zinc finger protein 144),344,direct_e3,,False,PCGF2
P35240,MERL_HUMAN,NF2 SCH,Merlin (Moesin-ezrin-radixin-like protein) (Neurofibromin-2) (Schwannomerlin) (Schwannomin),595,"direct_e3,substrate_adapters",,False,NF2
P36406,TRI23_HUMAN,TRIM23 ARD1 ARFD1 RNF46,E3 ubiquitin-protein ligase TRIM23 (EC 2.3.2.27) (ADP-ribosylation factor domain-containing protein 1) (GTP-binding protein ARD-1) (RING finger protein 46) (RING-type E3 ubiquitin transferase TRIM23) (Tripartite motif-containing protein 23),574,direct_e3,,False,TRIM23
P38398,BRCA1_HUMAN,BRCA1 RNF53,Breast cancer type 1 susceptibility protein (EC 2.3.2.27) (RING finger protein 53) (RING-type E3 ubiquitin transferase BRCA1),1863,direct_e3,,False,BRCA1
P41002,CCNF_HUMAN,CCNF FBX1 FBXO1,Cyclin-F (F-box only protein 1),786,"direct_e3,f_box,substrate_adapters",,False,CCNF
P41226,UBA7_HUMAN,UBA7 UBE1L UBE2,Ubiquitin-like modifier-activating enzyme 7 (Ubiquitin-activating enzyme 7) (EC 6.2.1.-) (D8) (Ubiquitin-activating enzyme E1 homolog),1012,direct_e3,,False,UBA7
P43356,MAGA2_HUMAN,MAGEA2 MAGE2 MAGEA2A; MAGEA2B MAGE2 MAGEA2,Melanoma-associated antigen 2 (Cancer/testis antigen 1.2) (CT1.2) (MAGE-2 antigen),314,direct_e3,,False,MAGEA2
P43357,MAGA3_HUMAN,MAGEA3 MAGE3,Melanoma-associated antigen 3 (Antigen MZ2-D) (Cancer/testis antigen 1.3) (CT1.3) (MAGE-3 antigen),314,direct_e3,,False,MAGEA3
P43360,MAGA6_HUMAN,MAGEA6 MAGE6,Melanoma-associated antigen 6 (Cancer/testis antigen 1.6) (CT1.6) (MAGE-6 antigen) (MAGE3B antigen),314,direct_e3,,False,MAGEA6
P45880,VDAC2_HUMAN,VDAC2,Non-selective voltage-gated ion channel VDAC2 (VDAC-2) (hVDAC2) (Outer mitochondrial membrane protein porin 2),294,direct_e3,,False,VDAC2
P53350,PLK1_HUMAN,PLK1 PLK,Serine/threonine-protein kinase PLK1 (EC 2.7.11.21) (Polo-like kinase 1) (PLK-1) (Serine/threonine-protein kinase 13) (STPK13),603,direct_e3,,False,PLK1
P45974,UBP5_HUMAN,USP5 ISOT,Ubiquitin carboxyl-terminal hydrolase 5 (EC 3.4.19.12) (Deubiquitinating enzyme 5) (Isopeptidase T) (Ubiquitin thioesterase 5) (Ubiquitin-specific-processing protease 5),858,direct_e3,,False,USP5
P46379,BAG6_HUMAN,BAG6 BAT3 G3,Large proline-rich protein BAG6 (BAG family molecular chaperone regulator 6) (BCL2-associated athanogene 6) (BAG-6) (HLA-B-associated transcript 3) (Protein G3) (Protein Scythe),1132,direct_e3,,False,BAG6
P46934,NEDD4_HUMAN,NEDD4 KIAA0093 NEDD4-1 RPF1 PIG53,E3 ubiquitin-protein ligase NEDD4 (EC 2.3.2.26) (Cell proliferation-inducing gene 53 protein) (HECT-type E3 ubiquitin transferase NEDD4) (Neural precursor cell expressed developmentally down-regulated protein 4) (NEDD-4),1319,direct_e3,,False,NEDD4
P48730,KC1D_HUMAN,CSNK1D HCKID,Casein kinase I isoform delta (CKI-delta) (CKId) (EC 2.7.11.1) (Tau-protein kinase CSNK1D) (EC 2.7.11.26),415,direct_e3,,False,CSNK1D
P49427,UB2R1_HUMAN,CDC34 UBCH3 UBE2R1,Ubiquitin-conjugating enzyme E2 R1 (EC 2.3.2.23) ((E3-independent) E2 ubiquitin-conjugating enzyme R1) (EC 2.3.2.24) (E2 ubiquitin-conjugating enzyme R1) (Ubiquitin-conjugating enzyme E2-32 kDa complementing) (Ubiquitin-conjugating enzyme E2-CDC34) (Ubiquitin-protein ligase R1),236,direct_e3,,False,CDC34
P49459,UBE2A_HUMAN,UBE2A RAD6A,Ubiquitin-conjugating enzyme E2 A (EC 2.3.2.23) (E2 ubiquitin-conjugating enzyme A) (RAD6 homolog A) (HR6A) (hHR6A) (Ubiquitin carrier protein A) (Ubiquitin-protein ligase A),152,direct_e3,,False,UBE2A
P49773,HINT1_HUMAN,HINT1 HINT PKCI1 PRKCNH1,Adenosine 5'-monophosphoramidase HINT1 (EC 3.9.1.-) (Desumoylating isopeptidase HINT1) (EC 3.4.22.-) (Histidine triad nucleotide-binding protein 1) (Protein kinase C inhibitor 1) (Protein kinase C-interacting protein 1) (PKCI-1),126,direct_e3,,False,HINT1
P49902,5NTC_HUMAN,NT5C2 NT5B NT5CP PNT5,Cytosolic purine 5'-nucleotidase (EC 3.1.3.5) (EC 3.1.3.99) (Cytosolic 5'-nucleotidase II) (cN-II) (Cytosolic IMP/GMP-specific 5'-nucleotidase) (Cytosolic nucleoside phosphotransferase 5'N) (EC 2.7.1.77) (High Km 5'-nucleotidase),561,direct_e3,,False,NT5C2
P50876,R144A_HUMAN,RNF144A KIAA0161 RNF144 UBCE7IP4,E3 ubiquitin-protein ligase RNF144A (EC 2.3.2.31) (RING finger protein 144A) (UbcM4-interacting protein 4) (Ubiquitin-conjugating enzyme 7-interacting protein 4),292,direct_e3,,False,RNF144A
P51617,IRAK1_HUMAN,IRAK1 IRAK,Interleukin-1 receptor-associated kinase 1 (IRAK-1) (EC 2.7.11.1),712,direct_e3,,False,IRAK1
P51668,UB2D1_HUMAN,UBE2D1 SFT UBC5A UBCH5 UBCH5A,Ubiquitin-conjugating enzyme E2 D1 (EC 2.3.2.23) ((E3-independent) E2 ubiquitin-conjugating enzyme D1) (EC 2.3.2.24) (E2 ubiquitin-conjugating enzyme D1) (Stimulator of Fe transport) (SFT) (UBC4/5 homolog) (UbcH5) (Ubiquitin carrier protein D1) (Ubiquitin-conjugating enzyme E2(17)KB 1) (Ubiquitin-conjugating enzyme E2-17 kDa 1) (Ubiquitin-protein ligase D1),147,direct_e3,,False,UBE2D1
P29590,PML_HUMAN,PML MYL PP8675 RNF71 TRIM19,Protein PML (E3 SUMO-protein ligase PML) (EC 2.3.2.-) (Promyelocytic leukemia protein) (RING finger protein 71) (RING-type E3 SUMO transferase PML) (Tripartite motif-containing protein 19) (TRIM19),882,direct_e3,,False,PML
P28328,PEX2_HUMAN,PEX2 PAF1 PMP3 PMP35 PXMP3 RNF72,Peroxisome biogenesis factor 2 (EC 2.3.2.27) (EC 2.3.2.36) (35 kDa peroxisomal membrane protein) (Peroxin-2) (Peroxisomal membrane protein 3) (Peroxisome assembly factor 1) (PAF-1) (RING finger protein 72),305,direct_e3,,False,PEX2
P22681,CBL_HUMAN,CBL CBL2 RNF55,E3 ubiquitin-protein ligase CBL (EC 2.3.2.27) (Casitas B-lineage lymphoma proto-oncogene) (Proto-oncogene c-Cbl) (RING finger protein 55) (RING-type E3 ubiquitin transferase CBL) (Signal transduction protein CBL),906,direct_e3,,False,CBL
P21675,TAF1_HUMAN,TAF1 BA2R CCG1 CCGS TAF2A,Transcription initiation factor TFIID subunit 1 (EC 2.3.1.48) (EC 2.7.11.1) (Cell cycle gene 1 protein) (TBP-associated factor 250 kDa) (p250) (Transcription initiation factor TFIID 250 kDa subunit) (TAF(II)250) (TAFII-250) (TAFII250),1893,direct_e3,,False,TAF1
O95522,PRA12_HUMAN,PRAMEF12,PRAME family member 12,483,substrate_adapters,,False,PRAMEF12
O95628,CNOT4_HUMAN,CNOT4 NOT4,CCR4-NOT transcription complex subunit 4 (EC 2.3.2.27) (CCR4-associated factor 4) (E3 ubiquitin-protein ligase CNOT4) (Potential transcriptional repressor NOT4Hp) (RING-type E3 ubiquitin transferase CNOT4),575,direct_e3,,False,CNOT4
O95714,HERC2_HUMAN,HERC2,E3 ubiquitin-protein ligase HERC2 (EC 2.3.2.26) (HECT domain and RCC1-like domain-containing protein 2) (HECT-type E3 ubiquitin transferase HERC2),4834,direct_e3,,False,HERC2
O95786,RIGI_HUMAN,RIGI DDX58,Antiviral innate immune response receptor RIG-I (ATP-dependent RNA helicase DDX58) (EC 3.6.4.13) (DEAD box protein 58) (RIG-I-like receptor 1) (RLR-1) (RNA sensor RIG-I) (Retinoic acid-inducible gene 1 protein) (RIG-1) (Retinoic acid-inducible gene I protein) (RIG-I),925,direct_e3,,False,RIGI
O96008,TOM40_HUMAN,TOMM40 C19orf1 PEREC1 TOM40,Mitochondrial import receptor subunit TOM40 homolog (Protein Haymaker) (Translocase of outer membrane 40 kDa subunit homolog) (p38.5),361,direct_e3,,False,TOMM40
O96017,CHK2_HUMAN,CHEK2 CDS1 CHK2 RAD53,Serine/threonine-protein kinase Chk2 (EC 2.7.11.1) (CHK2 checkpoint homolog) (Cds1 homolog) (Hucds1) (hCds1) (Checkpoint kinase 2),543,direct_e3,,False,CHEK2
P00519,ABL1_HUMAN,ABL1 ABL JTK7,Tyrosine-protein kinase ABL1 (EC 2.7.10.2) (Abelson murine leukemia viral oncogene homolog 1) (Abelson tyrosine-protein kinase 1) (Proto-oncogene c-Abl) (p150),1130,substrate_adapters,,False,ABL1
P05161,ISG15_HUMAN,ISG15 G1P2 UCRP,Ubiquitin-like protein ISG15 (Interferon-induced 15 kDa protein) (Interferon-induced 17 kDa protein) (IP17) (Ubiquitin cross-reactive protein) (hUCRP),165,direct_e3,,False,ISG15
P05362,ICAM1_HUMAN,ICAM1,Intercellular adhesion molecule 1 (ICAM-1) (Major group rhinovirus receptor) (CD antigen CD54),532,direct_e3,,False,ICAM1
P0C0E4,RB40L_HUMAN,RAB40AL RLGP,Ras-related protein Rab-40A-like (EC 3.6.5.2) (Ras-like GTPase),278,direct_e3,,False,RAB40AL
P0C2W1,FBSP1_HUMAN,FBXO45 FBX45,F-box/SPRY domain-containing protein 1 (F-box only protein 45) (hFbxo45),286,"direct_e3,f_box,substrate_adapters",,False,FBXO45
P0CG48,UBC_HUMAN,UBC,Polyubiquitin-C [Cleaved into: Ubiquitin],685,direct_e3,,False,UBC
P0CI25,TRI49_HUMAN,TRIM49 RNF18,Tripartite motif-containing protein 49 (RING finger protein 18) (Testis-specific RING-finger protein),452,direct_e3,,False,TRIM49
P0CI26,TR49C_HUMAN,TRIM49C TRIM49L2,Tripartite motif-containing protein 49C (Tripartite motif-containing protein 49-like protein 2),452,direct_e3,,False,TRIM49C
P0DMV8,HS71A_HUMAN,HSPA1A HSP72 HSPA1 HSX70,Heat shock 70 kDa protein 1A (Heat shock 70 kDa protein 1) (HSP70-1) (HSP70.1) (Heat shock protein family A member 1A),641,direct_e3,,False,HSPA1A
P0DMV9,HS71B_HUMAN,HSPA1B HSP72,Heat shock 70 kDa protein 1B (Heat shock 70 kDa protein 2) (HSP70-2) (HSP70.2) (Heat shock protein family A member 1B),641,direct_e3,,False,HSPA1B
P0DUQ1,PRA15_HUMAN,PRAMEF15,PRAME family member 15,478,substrate_adapters,,False,PRAMEF15
P0DUQ2,PRAM9_HUMAN,PRAMEF9,PRAME family member 9,478,"direct_e3,substrate_adapters",,False,PRAMEF9
P10909,CLUS_HUMAN,CLU APOJ CLI KUB1 AAG4,"Clusterin (Aging-associated gene 4 protein) (Apolipoprotein J) (Apo-J) (Complement cytolysis inhibitor) (CLI) (Complement-associated protein SP-40,40) (Ku70-binding protein 1) (NA1/NA2) (Sulfated glycoprotein 2) (SGP-2) (Testosterone-repressed prostate message 2) (TRPM-2) [Cleaved into: Clusterin beta chain (ApoJalpha) (Complement cytolysis inhibitor a chain) (SP-40,40 beta-chain); Clusterin alpha chain (ApoJbeta) (Complement cytolysis inhibitor b chain) (SP-40,40 alpha-chain)]",449,direct_e3,,False,CLU
P14373,TRI27_HUMAN,TRIM27 RFP RNF76,Zinc finger protein RFP (EC 2.3.2.27) (RING finger protein 76) (Ret finger protein) (Tripartite motif-containing protein 27),513,direct_e3,,False,TRIM27
P15918,RAG1_HUMAN,RAG1 RNF74,V(D)J recombination-activating protein 1 (RAG-1) (RING finger protein 74) [Includes: Endonuclease RAG1 (EC 3.1.-.-); E3 ubiquitin-protein ligase RAG1 (EC 2.3.2.27) (RING-type E3 ubiquitin transferase RAG1)],1043,direct_e3,,False,RAG1
